RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,27.63,30.16,0.00,28.78
OTHER,22.22,11.11,0.00,16.67
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,40.00,0.00,25.00
ASIA-PI,50.00,66.67,0.00,62.50
WHITE,37.84,33.33,0.00,35.44
BLACK,18.55,17.39,0.00,17.96
TOTAL,25.18,24.77,0.00,24.97
