RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,13.83,19.12,0.00,15.95
OTHER,0.00,11.11,0.00,6.67
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,5.88,16.67,0.00,11.43
ASIA-PI,0.00,0.00,0.00,0.00
WHITE,35.03,33.92,50.00,34.46
BLACK,10.00,23.57,0.00,18.22
TOTAL,29.59,30.96,33.33,30.35
