RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,16.67,22.81,0.00,19.51
OTHER,25.00,20.00,0.00,22.22
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,20.00,15.38,0.00,16.67
ASIA-PI,0.00,14.29,0.00,11.11
WHITE,33.33,32.71,0.00,32.98
BLACK,22.43,32.58,0.00,28.53
TOTAL,23.61,32.10,0.00,28.65
