RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,35.48,16.67,0.00,27.27
OTHER,0.00,0.00,0.00,0.00
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,33.33,14.29,0.00,20.00
ASIA-PI,0.00,16.67,0.00,9.090
WHITE,41.53,38.11,0.00,39.69
BLACK,7.690,17.86,0.00,12.96
TOTAL,39.35,35.98,0.00,37.55
