ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,28.78,31.62,0.00,30.33
2016 Primary,12.86,13.45,0.00,13.18
2016 Primary Runoff,3.49,2.76,0.00,3.09
2016 General,55.12,64.56,0.00,60.20
2018 Primary,13.62,14.80,0.00,14.24
2018 Primary Runoff,6.34,6.05,0.00,6.17
2018 General,54.83,58.73,100.0,57.03
