ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,37.95,40.49,0.00,39.31
2016 Primary,19.40,20.38,0.00,19.93
2016 Primary Runoff,9.08,8.14,0.00,8.57
2016 General,65.61,72.28,0.00,69.11
2018 Primary,18.39,17.57,0.00,17.93
2018 Primary Runoff,13.98,10.20,0.00,11.95
2018 General,62.73,67.89,33.33,65.42
