,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,36.47,47.31,0.0
1,OTHER,33.33,40.0,0.0
2,NATIVE-AM,0.0,100.0,0.0
3,HISP-LT,30.0,28.57,0.0
4,ASIA-PI,50.0,33.33,0.0
5,WHITE,47.62,52.73,0.0
6,BLACK,49.85,64.95,0.0
