,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,68.09,56.52,0.0
1,OTHER,40.0,40.0,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,44.44,44.44,0.0
4,ASIA-PI,70.0,43.75,0.0
5,WHITE,70.46,72.93,50.0
6,BLACK,56.25,56.0,0.0
