,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,62.86,69.7,0.0
1,OTHER,60.0,75.0,0.0
2,NATIVE-AM,0.0,100.0,0.0
3,HISP-LT,80.0,62.5,0.0
4,ASIA-PI,100.0,50.0,0.0
5,WHITE,71.24,67.86,100.0
6,BLACK,0.0,0.0,0.0
