,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,36.95,39.16,0.0
1,OTHER,0.0,44.0,0.0
2,NATIVE-AM,0.0,100.0,0.0
3,HISP-LT,29.41,45.45,0.0
4,ASIA-PI,60.0,50.0,0.0
5,WHITE,59.97,64.58,100.0
6,BLACK,35.66,49.48,0.0
