,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,33.33,45.71,0.0
1,OTHER,37.5,57.14,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,53.85,54.55,0.0
4,ASIA-PI,21.43,30.77,0.0
5,WHITE,60.04,62.99,0.0
6,BLACK,51.22,62.09,40.0
