,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,38.81,51.72,0.0
1,OTHER,33.33,52.46,0.0
2,NATIVE-AM,71.43,42.86,0.0
3,HISP-LT,51.7,63.64,100.0
4,ASIA-PI,44.44,45.78,100.0
5,WHITE,74.13,75.35,100.0
6,BLACK,45.05,60.23,100.0
