RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,33.33,100.0,0.0,55.56
OTHER,100.0,0.0,0.0,100.0
NATIVE-AM,0.0,0.0,0.0,0.0
HISP-LT,0.0,0.0,0.0,0.0
ASIA-PI,0.0,0.0,0.0,0.0
WHITE,68.55,67.65,100.0,68.2
BLACK,0.0,0.0,0.0,0.0
TOTAL,67.18,68.35,100.0,67.9
