,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,48.12,51.47,0.0
1,OTHER,30.77,47.62,0.0
2,NATIVE-AM,0.0,50.0,0.0
3,HISP-LT,53.57,56.67,0.0
4,ASIA-PI,0.0,58.33,0.0
5,WHITE,65.91,65.65,75.0
6,BLACK,45.72,66.16,0.0
