,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,44.79,51.84,0.0
1,OTHER,42.86,50.0,0.0
2,NATIVE-AM,100.0,50.0,0.0
3,HISP-LT,45.92,57.03,0.0
4,ASIA-PI,47.62,44.74,0.0
5,WHITE,63.18,64.72,100.0
6,BLACK,51.74,61.39,0.0
