,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,37.5,50.0,0.0
1,OTHER,25.0,53.85,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,50.0,52.94,0.0
4,ASIA-PI,66.67,80.0,0.0
5,WHITE,74.85,77.69,0.0
6,BLACK,50.0,64.09,0.0
