,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,29.89,42.5,0.0
1,OTHER,37.5,47.83,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,33.33,46.67,0.0
4,ASIA-PI,37.5,42.86,0.0
5,WHITE,57.89,55.42,33.33
6,BLACK,55.75,70.22,28.57
