RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,39.73,31.51,0.00,35.62
OTHER,36.36,28.57,0.00,33.33
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,50.00,45.45,0.00,47.54
ASIA-PI,55.56,54.55,0.00,55.00
WHITE,66.32,68.23,0.00,67.39
BLACK,52.59,62.56,0.00,58.65
TOTAL,61.94,64.26,0.00,63.22
