PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
17,58.23,0,18.18,45.45,0,100,33.33,0,0,0,0,0,0,0,0,0,0,69.39,68.24,0,54.68,43.45
28,72.19,0,50,63.64,0,50,50,0,0,0,0,50,50,0,25,33.33,0,77.55,80.22,0,68.45,57.14
29,65.71,0,60,66.67,0,100,100,0,0,0,0,100,0,0,0,0,0,68.32,68.97,0,73.08,44.19
88888,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
C1-27,51.94,0,36.84,38.46,0,57.14,50,0,0,0,0,44,12.5,0,28.57,28.57,0,62.4,61.49,0,54.87,41.83
C2-27,59.13,0,54.9,48.94,0,47.06,58.82,0,0,0,0,30.77,37.5,0,28.57,57.14,0,67.02,67.47,0,52.39,37.59
C3-27,52.9,0,48.28,26.92,0,75,50,0,0,0,0,25,75,0,42.86,42.86,0,64.6,69.75,33.33,55.66,41.34
E-27,69.66,0,56.25,21.05,0,50,0,0,0,0,0,7.69,35.71,0,60,50,0,78.17,77.52,50,68.63,55.23
N-26,67.01,0,33.33,33.33,0,0,0,0,0,0,0,100,0,0,100,0,0,69.44,72.56,0,52.94,31.58
O-26,63.08,0,33.33,53.33,0,50,33.33,0,0,0,0,80,50,0,100,0,0,69.75,69.6,0,62.99,47.12
TOTAL,59.58,0.0,46.39,40.0,,50.0,46.94,,0.0,0.0,,35.11,30.0,,33.96,44.19,,68.87,70.28,28.57,57.62,44.52
