,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,60.56,66.04,0.0
1,OTHER,50.0,64.29,0.0
2,NATIVE-AM,33.33,120.0,0.0
3,HISP-LT,56.6,73.95,100.0
4,ASIA-PI,50.0,54.76,0.0
5,WHITE,68.67,70.87,84.62
6,BLACK,48.78,57.41,0.0
