,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,64.49,70.69,0.0
1,OTHER,62.5,52.94,0.0
2,NATIVE-AM,0.0,100.0,0.0
3,HISP-LT,64.0,79.17,0.0
4,ASIA-PI,64.0,72.58,0.0
5,WHITE,75.7,76.71,0.0
6,BLACK,64.95,57.61,0.0
