RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,35.71,39.81,0.0,38.02
OTHER,5.56,35.48,0.0,24.0
NATIVE-AM,0.0,50.0,0.0,20.0
HISP-LT,16.67,26.67,0.0,22.92
ASIA-PI,40.0,75.0,0.0,61.54
WHITE,45.11,41.36,0.0,43.13
BLACK,23.79,43.77,0.0,34.91
TOTAL,32.08,42.43,0.0,37.75
