,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,24.14,37.78,0.0
1,OTHER,55.56,50.0,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,0.0,100.0,0.0
4,ASIA-PI,0.0,0.0,0.0
5,WHITE,58.33,0.0,0.0
6,BLACK,33.01,43.97,0.0
