PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
02B,71.46,100,58.42,55.32,0,42.86,37.5,0,0,0,0,55.56,43.75,0,0,50,0,75.03,74.97,0,66.92,57.65
03C,70.23,0,62.83,57.1,0,85.19,55.17,0,50,0,0,69.23,52.83,0,73.68,42.86,100,72.99,71.56,0,74.62,61.85
04C,69.91,100,65.15,58.48,0,70.21,62.22,0,50,33.33,100,66.45,62.6,0,50,50,80,72.6,70.35,100,73.61,66.48
05B,66.09,50,59.53,51.08,0,62.96,44.12,0,0,0,0,62.79,60,0,58.62,55,100,69.4,66.93,0,68.57,54.55
06B,59.53,100,50.13,45.07,0,36.84,48.72,0,33.33,0,0,57.78,53.26,0,52.94,52.94,50,62.46,63.55,33.33,62,47.56
07B,64.35,50,60.52,47.38,0,62.26,62.79,0,50,0,0,66.3,60.49,0,68.97,48.15,0,67.8,65.04,100,69.22,55.56
08B,63.75,0,62.39,52.97,0,48.15,59.09,0,100,0,0,56.41,58.97,0,50,25,100,66.79,65.05,0,61.16,48.71
09B,63.26,0,53.17,49.8,0,48.39,62.07,0,50,66.67,0,61.25,52.31,0,50,66.67,100,66.72,64.33,0,68.49,52.53
10B,64.13,50,59.07,41.74,0,48.94,55.17,0,25,0,0,67.31,51.43,0,53.57,47.06,0,67.25,66.06,100,71.1,57.24
11C,67.61,71.43,61.59,49.09,0,60,43.48,0,50,100,0,56.3,62.82,0,52.63,64.29,75,72.25,70.56,100,69.57,59.86
12B,65.59,100,55.5,50.14,0,52,50,0,50,100,0,45.98,48.75,0,57.14,33.33,66.67,70.19,67.08,0,68.07,57.06
13B,65.05,75,55.14,49.39,100,58.06,61.54,0,66.67,100,0,64.29,53.23,0,64.29,71.43,100,68.86,65.45,0,66.14,55.67
14C,67.68,100,61.59,51.98,0,60,33.33,0,60,100,0,42.31,52.94,0,66.67,40,100,71.21,66.95,0,78.29,51.43
TOTAL,65.77,66.67,59.0,50.45,100.0,57.49,53.81,,47.37,50.0,100.0,60.9,56.26,,56.57,50.83,81.48,69.29,67.31,58.33,68.51,56.32
