,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,36.55,44.92,0.0
1,OTHER,47.22,63.86,100.0
2,NATIVE-AM,100.0,66.67,0.0
3,HISP-LT,63.53,61.63,100.0
4,ASIA-PI,54.55,60.23,0.0
5,WHITE,60.35,63.88,0.0
6,BLACK,51.97,62.18,0.0
