,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,57.69,62.26,0.0
1,OTHER,71.43,33.33,0.0
2,NATIVE-AM,100.0,50.0,0.0
3,HISP-LT,60.0,66.67,0.0
4,ASIA-PI,29.41,46.15,0.0
5,WHITE,67.72,71.24,0.0
6,BLACK,54.55,63.89,0.0
