RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,47.41,57.76,50.00,52.54
OTHER,37.50,57.14,0.00,50.00
NATIVE-AM,100.0,50.00,0.00,66.67
HISP-LT,50.00,60.00,0.00,56.52
ASIA-PI,66.67,37.50,0.00,45.45
WHITE,65.72,65.29,0.00,65.41
BLACK,65.26,73.95,33.33,69.82
TOTAL,63.61,67.39,33.33,65.49
