,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,34.0,64.15,0.0
1,OTHER,100.0,16.67,100.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,35.0,63.64,0.0
4,ASIA-PI,0.0,50.0,0.0
5,WHITE,71.08,71.48,33.33
6,BLACK,55.26,56.18,0.0
