,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,58.62,71.83,0.0
1,OTHER,73.33,72.73,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,56.25,52.0,0.0
4,ASIA-PI,54.55,67.21,0.0
5,WHITE,78.34,78.6,0.0
6,BLACK,67.74,75.41,0.0
