RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,62.93,61.76,100.0,62.73
OTHER,56.52,55.00,0.00,55.81
NATIVE-AM,100.0,0.00,0.00,100.0
HISP-LT,70.00,61.54,0.00,65.22
ASIA-PI,64.29,61.46,100.0,62.98
WHITE,71.51,72.20,100.0,71.89
BLACK,72.97,74.68,0.00,73.86
TOTAL,70.18,70.52,100.0,70.40
