,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,60.61,49.02,0.0
1,OTHER,42.86,55.56,0.0
2,NATIVE-AM,100.0,0.0,0.0
3,HISP-LT,50.0,46.15,0.0
4,ASIA-PI,0.0,25.0,0.0
5,WHITE,66.07,65.77,100.0
6,BLACK,61.9,65.79,0.0
