,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,53.85,46.88,0.0
1,OTHER,50.0,40.0,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,60.0,55.56,0.0
4,ASIA-PI,50.0,71.43,0.0
5,WHITE,78.34,78.54,0.0
6,BLACK,67.37,77.78,0.0
