,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,50.0,61.88,0.0
1,OTHER,60.0,58.54,0.0
2,NATIVE-AM,0.0,50.0,0.0
3,HISP-LT,56.52,69.81,0.0
4,ASIA-PI,57.34,61.11,100.0
5,WHITE,71.01,72.71,50.0
6,BLACK,64.75,69.43,0.0
