,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,43.72,47.56,0.0
1,OTHER,46.15,53.97,0.0
2,NATIVE-AM,20.0,50.0,0.0
3,HISP-LT,50.0,57.53,0.0
4,ASIA-PI,47.54,50.0,0.0
5,WHITE,65.83,67.85,0.0
6,BLACK,51.33,57.39,0.0
