,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,57.71,69.43,0.0
1,OTHER,50.0,62.96,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,39.13,72.73,0.0
4,ASIA-PI,77.27,66.67,0.0
5,WHITE,74.06,73.46,0.0
6,BLACK,58.57,63.64,0.0
