,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,47.76,61.06,0.0
1,OTHER,62.5,66.67,100.0
2,NATIVE-AM,100.0,0.0,0.0
3,HISP-LT,62.96,60.0,100.0
4,ASIA-PI,57.5,56.82,0.0
5,WHITE,71.47,75.72,50.0
6,BLACK,61.86,70.09,100.0
