PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
0002,1800.0,1.0,51.0,42.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,0.0,904.0,730.0,0.0,38.0,21.0
3A,998.0,0.0,21.0,20.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,503.0,431.0,0.0,6.0,5.0
3B,861.0,0.0,23.0,19.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,416.0,375.0,0.0,10.0,8.0
4A,763.0,0.0,16.0,21.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,348.0,290.0,0.0,53.0,25.0
4B,297.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,148.0,124.0,0.0,4.0,5.0
4C,572.0,1.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,280.0,244.0,0.0,7.0,6.0
4D,200.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,97.0,90.0,0.0,1.0,0.0
88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,5491.0,2.0,130.0,127.0,0.0,6.0,6.0,1.0,2.0,3.0,0.0,16.0,12.0,1.0,8.0,6.0,2.0,2696.0,2284.0,0.0,119.0,70.0
