RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,49.04,63.25,0.00,57.54
OTHER,25.00,68.97,0.00,53.33
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,56.25,74.19,0.00,65.08
ASIA-PI,40.00,60.00,0.00,46.67
WHITE,43.53,55.81,0.00,49.71
BLACK,55.33,65.17,50.00,61.25
TOTAL,53.27,64.66,50.00,60.03
