,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,57.59,63.19,0.0
1,OTHER,61.54,66.67,0.0
2,NATIVE-AM,100.0,100.0,0.0
3,HISP-LT,43.28,46.58,0.0
4,ASIA-PI,87.5,53.85,0.0
5,WHITE,69.72,73.65,100.0
6,BLACK,46.97,58.67,0.0
