,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,22.22,28.33,0.0
1,OTHER,31.58,29.73,200.0
2,NATIVE-AM,33.33,28.57,0.0
3,HISP-LT,25.71,36.07,0.0
4,ASIA-PI,43.75,42.65,0.0
5,WHITE,46.05,41.39,0.0
6,BLACK,37.96,54.36,30.23
