PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
2,63.97,0,42.62,36,0,33.33,33.33,0,100,66.67,0,16.67,50,0,50,0,0,65.56,64.79,0,70.89,47.50
TOTAL,59.64,,41.86,35.29,,38.89,41.67,,50.0,50.0,,38.89,41.18,,42.86,0.0,0.0,61.12,60.37,,67.55,52.69
