,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,32.95,44.44,0.0
1,OTHER,61.54,45.9,0.0
2,NATIVE-AM,25.0,16.67,0.0
3,HISP-LT,50.0,54.46,0.0
4,ASIA-PI,61.54,60.55,0.0
5,WHITE,54.23,59.66,33.33
6,BLACK,44.57,59.32,50.0
