,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,26.47,44.23,0.0
1,OTHER,45.45,52.78,0.0
2,NATIVE-AM,0.0,20.0,0.0
3,HISP-LT,50.0,55.0,0.0
4,ASIA-PI,35.0,50.0,0.0
5,WHITE,52.33,52.74,50.0
6,BLACK,38.88,56.31,0.0
