,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,29.59,39.53,0.0
1,OTHER,22.22,0.0,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,62.5,71.43,0.0
4,ASIA-PI,25.0,100.0,0.0
5,WHITE,43.1,41.38,0.0
6,BLACK,25.12,39.96,0.0
