,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,44.06,52.34,0.0
1,OTHER,47.54,48.0,0.0
2,NATIVE-AM,43.75,60.0,0.0
3,HISP-LT,55.68,56.47,0.0
4,ASIA-PI,47.95,42.73,0.0
5,WHITE,64.15,66.66,66.67
6,BLACK,50.03,62.88,66.67
