RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,49.50,58.91,0.00,54.78
OTHER,54.55,54.55,0.00,54.55
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,64.71,50.00,0.00,57.14
ASIA-PI,72.22,75.00,0.00,73.91
WHITE,64.93,68.47,50.00,66.91
BLACK,58.65,69.52,0.00,65.00
TOTAL,61.26,67.28,50.00,64.68
