,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,43.9,55.0,0.0
1,OTHER,0.0,50.0,0.0
2,NATIVE-AM,100.0,50.0,0.0
3,HISP-LT,57.14,71.43,0.0
4,ASIA-PI,50.0,66.67,0.0
5,WHITE,74.02,77.15,0.0
6,BLACK,47.01,73.16,0.0
