PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
02,4044.0,2.0,232.0,277.0,0.0,15.0,13.0,0.0,3.0,1.0,0.0,47.0,54.0,0.0,16.0,13.0,2.0,1618.0,1515.0,0.0,123.0,113.0
03,6290.0,4.0,356.0,335.0,0.0,27.0,31.0,0.0,4.0,5.0,0.0,80.0,95.0,1.0,30.0,43.0,3.0,2339.0,1917.0,0.0,587.0,433.0
04,6771.0,2.0,313.0,310.0,0.0,19.0,19.0,0.0,5.0,1.0,1.0,87.0,72.0,0.0,14.0,10.0,4.0,2602.0,2214.0,2.0,643.0,453.0
05,5000.0,1.0,209.0,266.0,0.0,16.0,23.0,0.0,2.0,1.0,0.0,50.0,44.0,0.0,22.0,11.0,0.0,2095.0,1909.0,0.0,194.0,157.0
06,3575.0,2.0,194.0,199.0,0.0,11.0,13.0,0.0,1.0,1.0,0.0,28.0,23.0,0.0,9.0,16.0,2.0,1481.0,1418.0,0.0,105.0,72.0
07,2770.0,0.0,122.0,170.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,30.0,29.0,0.0,7.0,4.0,0.0,1188.0,1109.0,0.0,66.0,35.0
08,3350.0,1.0,188.0,174.0,0.0,14.0,11.0,0.0,0.0,1.0,0.0,29.0,30.0,0.0,5.0,2.0,0.0,1307.0,1277.0,0.0,167.0,144.0
09,1198.0,0.0,47.0,44.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,554.0,534.0,0.0,2.0,3.0
10,2333.0,1.0,89.0,121.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,9.0,12.0,0.0,3.0,1.0,0.0,996.0,951.0,0.0,77.0,64.0
11,5155.0,3.0,226.0,276.0,0.0,24.0,9.0,0.0,2.0,4.0,0.0,45.0,40.0,0.0,7.0,5.0,2.0,2137.0,1901.0,0.0,264.0,210.0
12,1804.0,0.0,60.0,67.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,5.0,10.0,0.0,1.0,0.0,1.0,825.0,800.0,0.0,10.0,15.0
14,2500.0,2.0,100.0,87.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,15.0,23.0,0.0,4.0,2.0,0.0,1160.0,1058.0,0.0,21.0,20.0
15,2352.0,0.0,88.0,115.0,0.0,4.0,11.0,0.0,1.0,1.0,0.0,9.0,17.0,0.0,3.0,1.0,0.0,1033.0,1003.0,0.0,33.0,33.0
16,5695.0,1.0,368.0,356.0,0.0,26.0,22.0,0.0,3.0,2.0,0.0,87.0,80.0,0.0,30.0,28.0,2.0,2059.0,1585.0,0.0,603.0,443.0
17,5016.0,1.0,269.0,248.0,0.0,24.0,26.0,0.0,3.0,3.0,0.0,91.0,91.0,0.0,9.0,13.0,1.0,1878.0,1731.0,1.0,345.0,282.0
18,1439.0,0.0,79.0,79.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,19.0,13.0,0.0,0.0,2.0,2.0,635.0,534.0,0.0,44.0,26.0
99999,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
TOTAL,59298.0,20.0,2940.0,3124.0,0.0,204.0,198.0,0.0,25.0,23.0,1.0,637.0,635.0,1.0,162.0,151.0,19.0,23909.0,21457.0,3.0,3284.0,2505.0
