,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,63.64,0.0,0.0
1,OTHER,0.0,0.0,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,66.67,66.67,0.0
4,ASIA-PI,0.0,0.0,0.0
5,WHITE,72.46,68.42,0.0
6,BLACK,57.58,72.22,0.0
