RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,63.22,65.31,0.00,64.32
OTHER,50.00,66.67,0.00,57.14
NATIVE-AM,0.00,100.0,0.00,100.0
HISP-LT,80.00,60.00,0.00,66.67
ASIA-PI,0.00,40.00,0.00,28.57
WHITE,76.07,78.92,0.00,77.46
BLACK,45.59,63.49,0.00,54.20
TOTAL,71.63,75.59,0.00,73.61
