,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,41.56,61.18,0.0
1,OTHER,100.0,42.86,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,0.0,33.33,0.0
4,ASIA-PI,0.0,0.0,0.0
5,WHITE,18.18,58.33,0.0
6,BLACK,46.27,61.98,33.33
