,-,MALE,FEMALE,UNKNOWN
0,UNKNOWN,49.62,52.15,0.0
1,OTHER,43.48,68.75,0.0
2,NATIVE-AM,0.0,0.0,0.0
3,HISP-LT,63.64,74.0,0.0
4,ASIA-PI,54.55,45.45,0.0
5,WHITE,65.53,66.16,0.0
6,BLACK,56.69,64.95,0.0
