CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,116.0,14653.0,14713.0,1.0,2217.0,1578.0,0.0,132.0,134.0,4.0,3908.0,3123.0,1.0,1908.0,1499.0,26.0,139548.0,119654.0,26.0,70344.0,50147.0,423732.0
Congressional District 2,75.0,6299.0,6423.0,2.0,1497.0,1098.0,0.0,93.0,77.0,4.0,2408.0,1998.0,0.0,1367.0,1061.0,13.0,94006.0,81524.0,93.0,123386.0,85341.0,406765.0
Congressional District 3,74.0,16268.0,16025.0,10.0,2076.0,1761.0,0.0,81.0,61.0,9.0,3481.0,2896.0,3.0,1981.0,1579.0,68.0,162942.0,143264.0,34.0,56762.0,40972.0,450347.0
Congressional District 4,157.0,16872.0,16481.0,11.0,4100.0,2949.0,2.0,226.0,177.0,10.0,4464.0,3435.0,11.0,4169.0,4030.0,28.0,70812.0,60490.0,77.0,154040.0,111281.0,453822.0
Congressional District 5,297.0,27423.0,28214.0,4.0,3777.0,3148.0,0.0,153.0,117.0,10.0,3596.0,3346.0,13.0,3769.0,3588.0,43.0,71419.0,70699.0,126.0,160409.0,123745.0,503896.0
Congressional District 6,139.0,23881.0,23031.0,17.0,4553.0,3909.0,0.0,171.0,148.0,16.0,6380.0,5259.0,25.0,9508.0,8968.0,122.0,167054.0,151108.0,18.0,33368.0,24318.0,461993.0
Congressional District 7,475.0,24629.0,24247.0,39.0,4874.0,3999.0,5.0,275.0,266.0,53.0,11652.0,9424.0,70.0,11831.0,11804.0,210.0,122310.0,109538.0,133.0,45757.0,32440.0,414031.0
Congressional District 8,62.0,7281.0,7659.0,2.0,1451.0,1116.0,0.0,116.0,83.0,5.0,2657.0,2152.0,0.0,1765.0,1386.0,38.0,139279.0,121615.0,28.0,67904.0,47105.0,401704.0
Congressional District 9,85.0,12338.0,12781.0,2.0,949.0,894.0,0.0,110.0,94.0,13.0,4559.0,4527.0,3.0,1342.0,1112.0,72.0,180625.0,160851.0,5.0,13813.0,10261.0,404436.0
Congressional District 10,117.0,15918.0,16136.0,4.0,1772.0,1604.0,0.0,101.0,75.0,12.0,3279.0,2819.0,1.0,2165.0,1878.0,87.0,153493.0,137870.0,45.0,58003.0,41392.0,436771.0
Congressional District 11,116.0,15112.0,15599.0,16.0,3140.0,2510.0,0.0,208.0,166.0,13.0,6994.0,5737.0,5.0,3555.0,3042.0,83.0,174785.0,156520.0,51.0,41841.0,29542.0,459035.0
Congressional District 12,120.0,12555.0,12577.0,4.0,1948.0,1375.0,0.0,126.0,106.0,6.0,2948.0,2378.0,6.0,2114.0,1639.0,58.0,127607.0,111585.0,98.0,80425.0,56757.0,414432.0
Congressional District 13,138.0,17821.0,16190.0,7.0,3895.0,2762.0,1.0,137.0,100.0,9.0,5741.0,4642.0,11.0,2940.0,2512.0,33.0,72770.0,63000.0,101.0,148222.0,105027.0,446059.0
Congressional District 14,30.0,11611.0,11717.0,1.0,1047.0,941.0,0.0,94.0,72.0,0.0,4848.0,4850.0,2.0,985.0,852.0,30.0,165309.0,143685.0,8.0,17571.0,12709.0,376362.0
TOTAL,2001.0,222661.0,221793.0,120.0,37296.0,29644.0,8.0,2023.0,1676.0,164.0,66915.0,56586.0,151.0,49399.0,44950.0,911.0,1841959.0,1631403.0,843.0,1071845.0,771037.0,6053385.0
