CONGRESSIONAL DISTRICT,MALE,FEMALE,UNKNOWN,TOTAL
District 1,37.72,37.66,19.54,37.68
District 2,39.05,42.15,16.04,40.79
District 3,43.87,44.30,25.76,44.09
District 4,41.36,48.23,35.14,45.21
District 5,35.10,42.20,18.26,38.90
District 6,46.74,46.34,30.56,46.51
District 7,42.56,43.21,35.03,42.89
District 8,42.76,42.09,11.11,42.38
District 9,46.69,44.98,25.56,45.78
District 10,45.78,46.83,36.84,46.34
District 11,44.82,44.33,23.59,44.54
District 12,40.73,41.25,23.63,41.00
District 13,41.91,47.96,25.00,45.31
District 14,39.29,37.40,26.76,38.28
TOTAL,42.04,43.62,27.30,42.89
