COUNTY NAME,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
APPLING,155.0,151.0,212.0,261.0,344.0,371.0,470.0,557.0,571.0,1447.0,4539.0
ATKINSON,77.00,68.00,66.00,114.0,134.0,156.0,167.0,188.0,208.0,536.0,1714.0
BACON,66.00,73.00,111.0,171.0,199.0,202.0,215.0,242.0,284.0,711.0,2274.0
BAKER,38.00,37.00,39.00,42.00,77.00,87.00,116.0,126.0,138.0,315.0,1015.0
BALDWIN,435.0,452.0,589.0,580.0,764.0,868.0,1192.0,1326.0,1302.0,3270.0,10778.0
BANKS,130.0,138.0,176.0,235.0,353.0,359.0,428.0,455.0,461.0,1235.0,3970.0
BARROW,578.0,690.0,1176.0,1414.0,1654.0,1550.0,1821.0,1783.0,1644.0,4064.0,16374.0
BARTOW,829.0,833.0,1177.0,1514.0,2084.0,2489.0,2748.0,2805.0,2546.0,6138.0,23163.0
BEN HILL,109.0,147.0,180.0,165.0,224.0,301.0,360.0,456.0,475.0,1149.0,3566.0
BERRIEN,127.0,161.0,170.0,230.0,338.0,306.0,431.0,442.0,443.0,1360.0,4008.0
BIBB,1810.0,2034.0,2490.0,2826.0,3341.0,3615.0,4661.0,5019.0,5010.0,12582.0,43388.0
BLECKLEY,143.0,124.0,143.0,189.0,253.0,293.0,378.0,374.0,332.0,1089.0,3318.0
BRANTLEY,79.00,97.00,132.0,171.0,277.0,302.0,305.0,349.0,378.0,1001.0,3091.0
BROOKS,229.0,231.0,241.0,224.0,334.0,368.0,475.0,588.0,526.0,1551.0,4767.0
BRYAN,306.0,274.0,374.0,542.0,805.0,895.0,1085.0,1042.0,954.0,1839.0,8116.0
BULLOCH,819.0,682.0,864.0,974.0,1094.0,1200.0,1522.0,1533.0,1534.0,3931.0,14153.0
BURKE,258.0,272.0,329.0,347.0,480.0,521.0,689.0,763.0,742.0,1692.0,6093.0
BUTTS,246.0,212.0,339.0,376.0,471.0,571.0,695.0,720.0,784.0,1814.0,6228.0
CALHOUN,50.00,52.00,80.00,93.00,128.0,124.0,161.0,183.0,191.0,445.0,1507.0
CAMDEN,280.0,306.0,371.0,413.0,680.0,985.0,1305.0,1312.0,1166.0,3120.0,9938.0
CANDLER,65.00,67.00,92.00,110.0,175.0,181.0,230.0,229.0,309.0,798.0,2256.0
CARROLL,1125.0,1110.0,1533.0,1778.0,2259.0,2575.0,2959.0,2879.0,2841.0,7494.0,26553.0
CATOOSA,438.0,395.0,636.0,860.0,1146.0,1386.0,1579.0,1487.0,1616.0,4696.0,14239.0
CHARLTON,71.00,70.00,84.00,94.00,147.0,168.0,245.0,297.0,238.0,691.0,2105.0
CHATHAM,2689.0,3279.0,4235.0,4526.0,5158.0,5687.0,7110.0,7866.0,8016.0,21973.0,70539.0
CHATTAHOOCHEE,32.00,33.00,34.00,44.00,54.00,78.00,97.00,92.00,71.00,177.0,712.0
CHATTOOGA,135.0,149.0,217.0,269.0,357.0,417.0,513.0,586.0,621.0,1697.0,4961.0
CHEROKEE,2402.0,2265.0,3521.0,4900.0,7078.0,7647.0,8366.0,7833.0,6991.0,16554.0,67557.0
CLARKE,1707.0,1942.0,2200.0,2134.0,2035.0,1825.0,2128.0,2331.0,2723.0,6941.0,25966.0
CLAY,23.00,35.00,56.00,50.00,44.00,53.00,75.00,110.0,128.0,384.0,958.0
CLAYTON,3693.0,3546.0,4384.0,5381.0,6926.0,7363.0,7871.0,7684.0,6277.0,10709.0,63834.0
CLINCH,34.00,52.00,61.00,77.00,80.00,96.00,131.0,140.0,160.0,379.0,1210.0
COBB,8324.0,8780.0,12571.0,16232.0,21724.0,23877.0,26725.0,25546.0,22627.0,48237.0,214643.0
COFFEE,356.0,325.0,472.0,579.0,715.0,758.0,930.0,992.0,1016.0,2357.0,8500.0
COLQUITT,238.0,274.0,429.0,472.0,571.0,675.0,848.0,909.0,1023.0,2713.0,8152.0
COLUMBIA,1653.0,1594.0,2143.0,2674.0,3547.0,4131.0,5083.0,4956.0,4848.0,10012.0,40641.0
COOK,153.0,152.0,199.0,218.0,283.0,344.0,405.0,373.0,385.0,1135.0,3647.0
COWETA,1340.0,1422.0,1983.0,2596.0,3565.0,4352.0,4596.0,4275.0,3946.0,9686.0,37761.0
CRAWFORD,104.0,127.0,137.0,151.0,238.0,301.0,436.0,442.0,405.0,993.0,3334.0
CRISP,184.0,189.0,280.0,303.0,365.0,428.0,511.0,604.0,683.0,1632.0,5179.0
DADE,106.0,90.00,154.0,180.0,223.0,251.0,377.0,471.0,480.0,1180.0,3512.0
DAWSON,217.0,232.0,270.0,367.0,501.0,620.0,767.0,848.0,896.0,2654.0,7372.0
DECATUR,206.0,214.0,269.0,336.0,459.0,541.0,698.0,782.0,736.0,1987.0,6228.0
DEKALB,8851.0,11692.0,16356.0,18184.0,21127.0,22377.0,24607.0,23573.0,22238.0,45291.0,214296.0
DODGE,195.0,223.0,322.0,329.0,462.0,531.0,512.0,569.0,588.0,1582.0,5313.0
DOOLY,111.0,109.0,155.0,167.0,161.0,236.0,275.0,336.0,357.0,861.0,2768.0
DOUGHERTY,1313.0,1087.0,1416.0,1542.0,1778.0,1930.0,2324.0,2686.0,2924.0,7027.0,24027.0
DOUGLAS,1689.0,1412.0,2205.0,3150.0,4384.0,4709.0,4710.0,4248.0,3708.0,7932.0,38147.0
EARLY,109.0,156.0,161.0,196.0,246.0,264.0,320.0,366.0,385.0,1069.0,3272.0
ECHOLS,34.00,34.00,35.00,45.00,47.00,55.00,69.00,69.00,62.00,190.0,640.0
EFFINGHAM,441.0,415.0,655.0,901.0,1211.0,1431.0,1673.0,1589.0,1438.0,3103.0,12857.0
ELBERT,147.0,142.0,185.0,257.0,336.0,394.0,463.0,570.0,609.0,1738.0,4841.0
EMANUEL,180.0,233.0,273.0,309.0,337.0,376.0,531.0,614.0,643.0,1642.0,5138.0
EVANS,67.00,81.00,100.0,104.0,139.0,171.0,242.0,282.0,268.0,771.0,2225.0
FANNIN,139.0,139.0,185.0,222.0,343.0,415.0,613.0,832.0,1012.0,3136.0,7036.0
FAYETTE,1707.0,1236.0,1304.0,1780.0,3100.0,4473.0,5724.0,5881.0,5359.0,12044.0,42608.0
FLOYD,610.0,682.0,960.0,1156.0,1563.0,1806.0,2185.0,2446.0,2648.0,7157.0,21213.0
FORSYTH,1934.0,1532.0,2612.0,3904.0,6604.0,7969.0,7852.0,6105.0,5134.0,13562.0,57208.0
FRANKLIN,132.0,166.0,209.0,249.0,328.0,397.0,484.0,531.0,599.0,1703.0,4798.0
FULTON,10842.0,15238.0,20554.0,22558.0,26872.0,28378.0,30310.0,29021.0,26647.0,58889.0,269309.0
GILMER,179.0,162.0,230.0,285.0,431.0,557.0,717.0,874.0,1156.0,3386.0,7977.0
GLASCOCK,36.00,29.00,44.00,58.00,88.00,75.00,85.00,86.00,100.0,222.0,823.0
GLYNN,404.0,539.0,799.0,945.0,1211.0,1492.0,1978.0,2354.0,2657.0,8109.0,20488.0
GORDON,330.0,326.0,489.0,604.0,895.0,1001.0,1147.0,1215.0,1255.0,3215.0,10477.0
GRADY,158.0,203.0,278.0,282.0,376.0,461.0,642.0,652.0,672.0,1950.0,5674.0
GREENE,174.0,179.0,257.0,283.0,314.0,384.0,507.0,688.0,856.0,2987.0,6629.0
GWINNETT,8717.0,7487.0,11171.0,15140.0,21283.0,24725.0,27805.0,24912.0,20816.0,38769.0,200825.0
HABERSHAM,262.0,314.0,356.0,431.0,615.0,726.0,917.0,1025.0,1250.0,3869.0,9765.0
HALL,1703.0,1587.0,2056.0,2450.0,3601.0,4078.0,4831.0,4976.0,4951.0,14205.0,44438.0
HANCOCK,122.0,88.00,92.00,116.0,128.0,183.0,251.0,267.0,349.0,883.0,2479.0
HARALSON,242.0,279.0,333.0,368.0,616.0,690.0,777.0,698.0,742.0,2196.0,6941.0
HARRIS,350.0,268.0,388.0,494.0,826.0,1046.0,1296.0,1334.0,1341.0,3121.0,10464.0
HART,221.0,197.0,268.0,332.0,439.0,591.0,702.0,762.0,805.0,2720.0,7037.0
HEARD,85.00,81.00,104.0,118.0,184.0,234.0,305.0,313.0,291.0,816.0,2531.0
HENRY,3057.0,2460.0,3485.0,5115.0,7540.0,8129.0,8392.0,6977.0,6062.0,13025.0,64242.0
HOUSTON,1427.0,1496.0,2159.0,2411.0,2977.0,3672.0,5103.0,4838.0,4095.0,9918.0,38096.0
IRWIN,91.00,96.00,116.0,132.0,189.0,217.0,241.0,244.0,262.0,813.0,2401.0
JACKSON,538.0,576.0,892.0,1207.0,1514.0,1632.0,1760.0,1739.0,1778.0,4578.0,16214.0
JASPER,135.0,151.0,195.0,225.0,274.0,339.0,443.0,465.0,471.0,1205.0,3903.0
JEFF DAVIS,96.00,124.0,146.0,195.0,222.0,274.0,325.0,356.0,386.0,962.0,3086.0
JEFFERSON,163.0,181.0,214.0,252.0,322.0,431.0,524.0,532.0,605.0,1468.0,4692.0
JENKINS,84.00,66.00,86.00,96.00,118.0,137.0,205.0,227.0,287.0,675.0,1981.0
JOHNSON,115.0,97.00,120.0,145.0,167.0,199.0,235.0,283.0,266.0,735.0,2362.0
JONES,272.0,245.0,401.0,525.0,720.0,787.0,948.0,988.0,982.0,2373.0,8241.0
LAMAR,180.0,216.0,228.0,303.0,393.0,447.0,527.0,583.0,615.0,1587.0,5079.0
LANIER,55.00,47.00,80.00,96.00,116.0,118.0,154.0,189.0,185.0,443.0,1483.0
LAURENS,500.0,491.0,618.0,815.0,989.0,1199.0,1421.0,1507.0,1582.0,4105.0,13227.0
LEE,372.0,345.0,528.0,639.0,985.0,1019.0,1069.0,1128.0,1007.0,1923.0,9015.0
LIBERTY,297.0,341.0,457.0,499.0,679.0,935.0,1322.0,1317.0,1122.0,2199.0,9168.0
LINCOLN,130.0,99.00,95.00,125.0,167.0,204.0,305.0,305.0,348.0,964.0,2742.0
LONG,100.0,101.0,135.0,175.0,202.0,213.0,268.0,264.0,254.0,472.0,2184.0
LOWNDES,1072.0,934.0,1219.0,1346.0,1655.0,1928.0,2434.0,2497.0,2550.0,6181.0,21816.0
LUMPKIN,269.0,264.0,326.0,416.0,482.0,580.0,824.0,954.0,971.0,2693.0,7779.0
MCDUFFIE,234.0,263.0,301.0,359.0,486.0,517.0,709.0,706.0,743.0,1867.0,6185.0
MCINTOSH,99.00,139.0,127.0,160.0,236.0,275.0,372.0,508.0,522.0,1500.0,3938.0
MACON,135.0,132.0,144.0,143.0,201.0,267.0,353.0,394.0,418.0,897.0,3084.0
MADISON,326.0,286.0,379.0,465.0,602.0,716.0,865.0,883.0,935.0,2224.0,7681.0
MARION,126.0,93.00,116.0,105.0,138.0,202.0,260.0,254.0,261.0,646.0,2201.0
MERIWETHER,196.0,226.0,292.0,317.0,397.0,538.0,654.0,730.0,790.0,2101.0,6241.0
MILLER,48.00,51.00,68.00,75.00,89.00,126.0,170.0,144.0,161.0,539.0,1471.0
MITCHELL,193.0,193.0,248.0,303.0,408.0,445.0,568.0,600.0,585.0,1545.0,5088.0
MONROE,335.0,270.0,400.0,522.0,697.0,806.0,1013.0,1038.0,1135.0,2509.0,8725.0
MONTGOMERY,93.00,89.00,101.0,123.0,165.0,208.0,253.0,259.0,281.0,784.0,2356.0
MORGAN,221.0,216.0,265.0,358.0,519.0,602.0,683.0,725.0,763.0,2072.0,6424.0
MURRAY,215.0,228.0,279.0,383.0,540.0,576.0,727.0,743.0,697.0,1807.0,6195.0
MUSCOGEE,1547.0,1757.0,2246.0,2561.0,3121.0,3566.0,4746.0,5275.0,4932.0,12167.0,41918.0
NEWTON,1187.0,1116.0,1644.0,2392.0,3242.0,3362.0,3220.0,2965.0,2797.0,6799.0,28724.0
OCONEE,646.0,450.0,669.0,998.0,1372.0,1562.0,1612.0,1682.0,1495.0,3207.0,13693.0
OGLETHORPE,154.0,138.0,217.0,239.0,329.0,366.0,465.0,510.0,492.0,1256.0,4166.0
PAULDING,1505.0,1408.0,2315.0,3259.0,4616.0,4889.0,4709.0,3874.0,3194.0,7074.0,36843.0
PEACH,415.0,309.0,368.0,402.0,509.0,631.0,837.0,899.0,885.0,2175.0,7430.0
PICKENS,216.0,261.0,281.0,391.0,579.0,722.0,852.0,983.0,1240.0,3473.0,8998.0
PIERCE,122.0,102.0,188.0,254.0,332.0,352.0,402.0,381.0,455.0,1451.0,4039.0
PIKE,248.0,185.0,251.0,371.0,548.0,632.0,683.0,643.0,617.0,1537.0,5715.0
POLK,221.0,264.0,335.0,372.0,595.0,656.0,906.0,956.0,987.0,2833.0,8125.0
PULASKI,94.00,80.00,95.00,97.00,175.0,204.0,239.0,290.0,270.0,856.0,2400.0
PUTNAM,158.0,154.0,244.0,282.0,296.0,426.0,543.0,643.0,907.0,2744.0,6397.0
QUITMAN,20.00,17.00,16.00,16.00,28.00,64.00,46.00,65.00,82.00,280.0,634.0
RABUN,146.0,143.0,123.0,204.0,306.0,347.0,478.0,569.0,688.0,2544.0,5548.0
RANDOLPH,71.00,80.00,91.00,119.0,141.0,155.0,252.0,261.0,265.0,761.0,2196.0
RICHMOND,2011.0,2364.0,2929.0,2976.0,3498.0,4003.0,5340.0,6275.0,5904.0,13869.0,49169.0
ROCKDALE,1272.0,953.0,1257.0,1752.0,2566.0,2909.0,3504.0,3298.0,3017.0,6514.0,27042.0
SCHLEY,76.00,53.00,67.00,104.0,131.0,147.0,127.0,120.0,117.0,353.0,1295.0
SCREVEN,152.0,160.0,173.0,201.0,249.0,301.0,408.0,483.0,530.0,1235.0,3892.0
SEMINOLE,77.00,77.00,77.00,109.0,148.0,161.0,214.0,306.0,266.0,848.0,2283.0
SPALDING,653.0,622.0,914.0,1080.0,1309.0,1431.0,1685.0,1961.0,1936.0,5497.0,17088.0
STEPHENS,141.0,149.0,187.0,257.0,314.0,404.0,472.0,620.0,668.0,2068.0,5280.0
STEWART,43.00,39.00,63.00,61.00,73.00,118.0,131.0,151.0,172.0,392.0,1243.0
SUMTER,343.0,349.0,449.0,471.0,592.0,745.0,790.0,859.0,994.0,2533.0,8125.0
TALBOT,86.00,70.00,79.00,107.0,144.0,172.0,251.0,315.0,312.0,685.0,2221.0
TALIAFERRO,24.00,24.00,31.00,27.00,29.00,51.00,53.00,49.00,84.00,221.0,593.0
TATTNALL,135.0,147.0,208.0,270.0,339.0,383.0,498.0,492.0,501.0,1381.0,4354.0
TAYLOR,106.0,72.00,93.00,115.0,184.0,208.0,254.0,253.0,246.0,717.0,2248.0
TELFAIR,109.0,105.0,112.0,163.0,186.0,212.0,285.0,349.0,362.0,919.0,2802.0
TERRELL,240.0,145.0,159.0,181.0,191.0,290.0,345.0,386.0,413.0,1022.0,3372.0
THOMAS,327.0,363.0,522.0,640.0,777.0,967.0,1282.0,1328.0,1318.0,3638.0,11162.0
TIFT,271.0,362.0,466.0,520.0,671.0,764.0,911.0,1021.0,1043.0,2671.0,8700.0
TOOMBS,209.0,207.0,253.0,312.0,375.0,421.0,587.0,662.0,723.0,1940.0,5689.0
TOWNS,100.0,83.00,93.00,114.0,172.0,212.0,308.0,372.0,513.0,2395.0,4362.0
TREUTLEN,61.00,54.00,84.00,112.0,129.0,115.0,158.0,174.0,181.0,497.0,1565.0
TROUP,543.0,590.0,784.0,946.0,1225.0,1480.0,1765.0,1943.0,1956.0,4797.0,16029.0
TURNER,91.00,110.0,118.0,157.0,163.0,200.0,225.0,254.0,291.0,730.0,2339.0
