CONGRESSIONAL DISTRICT,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
District 1,18.19,36.08,14.77,19.92,19.60,41.40,21.72,37.68
District 2,19.03,38.62,14.51,17.65,20.18,45.83,24.60,40.79
District 3,22.45,40.60,22.89,26.76,26.93,47.38,32.27,44.09
District 4,23.37,45.09,24.72,22.22,30.18,53.14,28.74,45.21
District 5,23.03,38.28,25.07,15.93,27.71,45.72,29.99,38.90
District 6,25.93,37.55,28.26,26.96,32.55,52.73,30.70,46.51
District 7,19.41,41.43,23.44,23.44,30.86,50.38,32.01,42.89
District 8,22.75,37.71,17.55,22.61,24.21,46.35,24.63,42.38
District 9,19.37,34.86,17.32,29.90,27.21,48.51,33.54,45.78
District 10,21.44,41.70,24.98,32.39,29.23,50.40,32.96,46.34
District 11,26.19,38.20,24.40,30.75,31.59,48.80,28.30,44.54
District 12,25.35,37.91,17.91,24.14,22.33,45.58,24.17,41.00
District 13,21.44,46.53,23.78,27.73,31.39,49.39,33.26,45.31
District 14,19.09,37.65,14.70,17.47,20.97,40.35,24.58,38.28
TOTAL,22.39,40.59,21.83,24.20,28.36,47.45,29.41,42.89
