CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,19.0,3218.0,3166.0,0.0,417.0,327.0,0.0,28.0,25.0,1.0,549.0,489.0,0.0,352.0,268.0,8.0,55357.0,51958.0,6.0,27718.0,15754.0,159660.0
Congressional District 2,12.0,1692.0,1444.0,0.0,302.0,222.0,0.0,13.0,17.0,1.0,354.0,285.0,0.0,270.0,192.0,6.0,41748.0,38703.0,11.0,52169.0,28459.0,165900.0
Congressional District 3,12.0,5484.0,4950.0,3.0,578.0,455.0,0.0,19.0,19.0,1.0,799.0,662.0,0.0,469.0,331.0,21.0,75368.0,69713.0,14.0,25194.0,14485.0,198577.0
Congressional District 4,52.0,5488.0,4091.0,6.0,1282.0,843.0,0.0,46.0,44.0,2.0,1147.0,806.0,3.0,941.0,975.0,9.0,37474.0,32308.0,32.0,76459.0,43172.0,205180.0
Congressional District 5,37.0,9258.0,7478.0,0.0,1079.0,841.0,0.0,23.0,20.0,0.0,934.0,809.0,1.0,882.0,814.0,23.0,32310.0,32664.0,29.0,69687.0,39107.0,195996.0
Congressional District 6,36.0,7397.0,7013.0,3.0,1453.0,1304.0,0.0,42.0,44.0,4.0,1828.0,1462.0,6.0,2328.0,2463.0,49.0,86924.0,80871.0,5.0,13513.0,8147.0,214892.0
Congressional District 7,194.0,8085.0,7520.0,9.0,1483.0,1258.0,1.0,62.0,65.0,13.0,2820.0,2120.0,11.0,2167.0,2422.0,74.0,60455.0,56379.0,43.0,20568.0,11839.0,177588.0
Congressional District 8,6.0,1885.0,1804.0,0.0,350.0,272.0,0.0,24.0,21.0,1.0,485.0,359.0,0.0,423.0,294.0,5.0,61975.0,58965.0,3.0,27649.0,15730.0,170251.0
Congressional District 9,18.0,4149.0,4286.0,1.0,253.0,248.0,0.0,29.0,32.0,3.0,871.0,702.0,0.0,289.0,187.0,23.0,85235.0,80425.0,1.0,5321.0,3072.0,185145.0
Congressional District 10,41.0,5502.0,5059.0,3.0,534.0,451.0,0.0,28.0,29.0,2.0,819.0,705.0,1.0,478.0,388.0,36.0,76055.0,70804.0,15.0,26515.0,14936.0,202401.0
Congressional District 11,24.0,4428.0,4273.0,4.0,998.0,788.0,0.0,57.0,58.0,2.0,1712.0,1396.0,1.0,922.0,806.0,23.0,83439.0,78260.0,13.0,17341.0,9932.0,204477.0
Congressional District 12,30.0,3151.0,2923.0,2.0,432.0,309.0,0.0,22.0,34.0,1.0,502.0,452.0,0.0,544.0,409.0,17.0,56534.0,52510.0,19.0,32740.0,19288.0,169919.0
Congressional District 13,28.0,6679.0,4651.0,1.0,1267.0,824.0,0.0,44.0,22.0,0.0,1436.0,1035.0,2.0,634.0,535.0,12.0,35230.0,31828.0,32.0,75352.0,42503.0,202115.0
Congressional District 14,7.0,2944.0,2790.0,0.0,215.0,202.0,0.0,13.0,16.0,0.0,741.0,685.0,0.0,208.0,143.0,10.0,64015.0,60674.0,2.0,7219.0,4182.0,144066.0
TOTAL,516.0,69360.0,61448.0,32.0,10643.0,8344.0,1.0,450.0,446.0,31.0,14997.0,11967.0,25.0,10907.0,10227.0,316.0,852119.0,796062.0,225.0,477445.0,270606.0,2596167.0
