COUNTY NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
APPLING,17.07,31.62,11.94,25.00,12.50,46.68,19.90,42.49
ATKINSON,100.0,42.24,11.93,0.00,18.18,41.82,11.48,40.18
BACON,18.75,24.38,9.30,50.00,5.56,42.85,25.29,38.95
BAKER,40.00,42.48,9.09,0.00,37.50,52.87,57.69,47.72
BALDWIN,22.54,43.17,24.06,33.33,24.04,48.87,30.95,45.68
BANKS,20.63,28.65,11.93,0.00,40.74,43.05,21.47,41.49
BARROW,12.13,39.11,19.68,21.43,21.34,43.66,23.95,40.49
BARTOW,21.22,34.98,14.49,25.00,21.94,42.11,23.60,39.19
BEN HILL,18.75,33.58,8.18,0.00,23.08,42.92,21.25,38.69
BERRIEN,16.00,35.42,16.85,25.00,19.44,40.98,18.58,39.32
BIBB,23.61,42.63,22.52,34.88,25.09,52.76,25.80,46.10
BLECKLEY,17.86,40.94,28.57,0.00,46.67,52.60,30.38,49.45
BRANTLEY,22.22,25.62,6.06,0.00,3.85,33.05,11.21,31.88
BROOKS,22.73,45.59,21.69,28.57,25.45,52.01,36.29,48.40
BRYAN,19.11,34.93,18.16,15.00,23.32,38.33,24.59,36.03
BULLOCH,16.67,27.51,15.56,28.57,14.44,41.60,21.45,35.98
BURKE,18.92,40.42,23.61,0.00,21.57,46.76,20.86,42.52
BUTTS,37.04,43.31,28.87,20.00,19.54,48.48,34.39,45.87
CALHOUN,35.71,45.49,25.00,0.00,50.00,59.31,33.33,50.59
CAMDEN,20.54,29.58,16.64,16.00,17.07,35.70,21.38,31.80
CANDLER,29.41,36.14,12.37,0.00,4.55,46.85,23.13,42.14
CARROLL,18.57,34.51,16.90,25.00,22.74,44.57,27.55,40.82
CATOOSA,14.35,26.24,19.17,14.29,15.10,37.05,22.99,35.47
CHARLTON,50.00,31.02,0.00,0.00,15.38,39.24,25.09,35.95
CHATHAM,17.94,39.62,14.83,20.66,21.26,44.53,22.27,40.46
CHATTAHOOCHEE,5.66,25.43,1.16,0.00,5.56,19.40,9.50,19.17
CHATTOOGA,17.65,35.90,6.49,14.29,15.38,39.77,22.75,38.17
CHEROKEE,28.02,40.37,25.44,30.34,35.04,48.61,33.85,46.23
CLARKE,20.04,35.51,22.89,21.74,25.24,43.43,26.93,38.56
CLAY,25.00,45.58,33.33,0.00,0.00,62.78,32.00,52.35
CLAYTON,18.04,42.97,21.24,23.26,27.50,46.84,28.44,41.07
CLINCH,33.33,22.10,7.69,0.00,0.00,34.23,17.22,29.74
COBB,27.08,42.04,26.60,31.21,33.88,52.42,23.33,46.53
COFFEE,29.59,31.56,9.07,21.43,15.69,42.54,20.36,38.32
COLQUITT,9.09,26.28,6.51,0.00,16.22,43.29,20.19,37.15
COLUMBIA,28.82,44.87,25.41,38.46,27.51,47.80,28.06,44.69
COOK,18.42,36.27,10.11,20.00,30.00,42.99,23.05,40.13
COWETA,19.41,41.67,23.64,33.33,27.05,47.36,32.65,44.44
CRAWFORD,38.46,48.13,3.12,100.0,22.22,44.81,24.66,44.68
CRISP,12.68,30.04,26.23,0.00,12.12,53.83,27.32,42.89
DADE,17.65,14.55,10.42,40.00,13.64,36.13,20.54,34.86
DAWSON,23.53,20.00,24.41,14.29,34.00,51.69,30.24,50.06
DECATUR,17.02,34.44,11.04,12.50,28.12,43.20,22.61,38.85
DEKALB,26.86,43.78,29.48,21.65,30.24,54.48,28.99,45.50
DODGE,25.93,40.36,16.67,75.00,12.50,53.03,28.78,48.93
DOOLY,16.67,41.82,7.25,100.0,26.32,52.13,33.59,45.97
DOUGHERTY,15.60,38.92,19.94,5.26,21.02,47.33,26.38,40.87
DOUGLAS,23.97,46.04,24.19,27.27,29.86,49.73,32.38,45.94
EARLY,17.65,38.77,10.53,0.00,21.43,49.97,25.00,43.99
ECHOLS,0.00,26.04,5.06,0.00,25.00,38.85,21.95,35.69
EFFINGHAM,20.69,37.11,19.88,38.46,24.60,39.98,21.25,38.05
ELBERT,15.56,32.67,12.00,100.0,17.86,45.16,26.78,40.72
EMANUEL,15.38,33.71,16.13,20.00,15.22,49.13,21.28,42.79
EVANS,15.00,33.78,9.76,0.00,0.00,47.01,28.19,41.60
FANNIN,31.25,15.00,17.86,27.27,35.90,43.73,36.15,43.34
FAYETTE,28.02,57.85,30.96,27.27,38.40,54.27,41.21,52.52
FLOYD,17.59,32.19,13.44,15.38,10.06,44.42,19.06,40.83
FORSYTH,24.54,41.52,26.88,27.84,29.13,49.70,43.97,47.18
FRANKLIN,9.84,24.22,19.23,33.33,14.81,41.79,26.11,39.72
FULTON,23.80,38.47,24.71,18.15,29.18,47.37,31.98,40.55
GILMER,26.47,35.71,21.13,16.67,28.81,47.31,31.86,46.18
GLASCOCK,0.00,40.00,20.00,0.00,0.00,47.14,33.33,46.13
GLYNN,20.89,28.81,18.35,18.18,21.95,43.96,27.28,38.70
GORDON,11.61,32.89,10.60,15.79,10.58,38.87,18.36,37.03
GRADY,14.58,32.83,5.67,33.33,18.42,43.94,18.94,39.32
GREENE,38.64,47.04,20.55,0.00,38.71,63.80,48.55,57.13
GWINNETT,19.09,42.93,23.35,22.53,31.60,51.52,28.05,43.13
HABERSHAM,10.39,29.34,7.42,50.00,19.51,46.12,29.19,43.86
HALL,17.82,36.47,15.79,36.36,26.28,51.35,30.43,45.83
HANCOCK,0.00,41.33,30.00,0.00,36.84,45.69,32.26,42.03
HARALSON,16.92,38.92,25.93,16.67,14.00,43.78,25.18,42.66
HARRIS,25.00,46.21,24.28,50.00,23.08,48.39,33.37,46.82
HART,22.83,35.91,24.64,50.00,30.77,52.56,31.89,48.93
HEARD,27.78,38.13,22.86,57.14,5.88,39.29,17.42,38.38
HENRY,21.18,48.87,25.01,22.73,30.04,48.86,38.14,46.62
HOUSTON,23.96,41.70,24.58,22.81,26.76,45.29,24.12,42.30
IRWIN,42.86,35.41,6.67,0.00,62.50,50.96,21.74,46.37
JACKSON,15.99,38.30,21.41,10.00,27.10,48.59,25.40,45.86
JASPER,42.86,46.37,18.33,25.00,25.00,46.46,14.29,45.38
JEFF DAVIS,16.67,35.98,12.41,0.00,12.50,40.20,18.49,38.58
JEFFERSON,30.00,39.97,26.32,100.0,24.00,51.65,32.08,44.47
JENKINS,13.33,34.66,9.09,33.33,37.50,43.87,18.49,39.00
JOHNSON,37.50,38.68,11.11,0.00,50.00,48.85,29.31,45.39
JONES,23.61,49.87,23.94,15.38,29.17,47.89,21.21,47.94
LAMAR,26.92,43.12,20.00,0.00,23.91,47.90,28.12,45.36
LANIER,38.10,32.73,10.64,0.00,12.12,31.81,24.58,31.20
LAURENS,26.11,43.72,23.48,15.38,18.18,54.86,30.96,49.91
LEE,19.27,46.12,23.84,44.44,31.34,44.90,32.39,44.12
LIBERTY,15.70,33.58,12.17,21.62,14.64,32.35,12.31,29.52
LINCOLN,14.29,42.22,14.29,25.00,16.67,51.12,40.17,47.77
LONG,16.42,29.27,13.48,22.22,22.95,33.08,18.38,29.90
LOWNDES,22.72,30.67,15.16,20.00,19.20,40.46,16.06,35.28
LUMPKIN,17.86,21.43,21.21,44.68,32.43,47.54,32.94,46.10
MCDUFFIE,15.79,38.05,28.17,25.00,18.18,48.30,25.00,43.66
MCINTOSH,30.00,44.34,37.14,0.00,8.57,46.71,34.99,45.25
MACON,25.00,42.16,0.00,0.00,25.93,50.85,27.48,44.43
MADISON,43.42,40.73,17.46,25.00,34.85,48.94,29.68,46.79
MARION,3.12,52.75,20.63,0.00,41.67,44.76,31.50,46.34
MERIWETHER,37.04,40.91,18.75,0.00,38.64,48.42,27.63,44.41
MILLER,0.00,25.02,8.33,0.00,42.86,41.80,20.00,36.89
MITCHELL,19.05,37.15,8.70,50.00,21.05,44.89,22.82,40.45
MONROE,25.68,44.05,24.39,0.00,35.63,53.87,36.73,50.50
MONTGOMERY,16.67,37.43,7.84,0.00,30.00,49.56,25.86,45.90
MORGAN,20.00,42.26,32.10,25.00,31.03,56.46,35.10,52.24
MURRAY,21.43,14.14,10.48,12.50,19.79,34.32,18.94,32.11
MUSCOGEE,19.16,34.00,14.26,8.11,17.24,38.75,22.09,34.63
NEWTON,22.37,44.02,21.47,37.21,22.47,47.73,21.51,44.14
