COUNTY NAME,MALE,FEMALE,UNKNOWN,TOTAL
APPLING,42.59,42.41,0.00,42.49
ATKINSON,40.49,39.97,0.00,40.18
BACON,40.29,37.84,0.00,38.95
BAKER,47.32,48.08,0.00,47.72
BALDWIN,45.04,46.19,20.00,45.68
BANKS,43.13,39.98,0.00,41.49
BARROW,40.46,40.53,33.33,40.49
BARTOW,39.78,38.67,23.08,39.19
BEN HILL,38.14,39.13,0.00,38.69
BERRIEN,41.13,37.78,0.00,39.32
BIBB,44.22,47.55,8.33,46.10
BLECKLEY,50.02,48.97,0.00,49.45
BRANTLEY,33.00,30.88,0.00,31.88
BROOKS,47.69,49.00,0.00,48.40
BRYAN,37.50,34.78,20.00,36.03
BULLOCH,35.51,36.39,33.33,35.98
BURKE,41.18,43.62,33.33,42.52
BUTTS,44.93,46.74,22.22,45.87
CALHOUN,49.69,51.31,0.00,50.59
CAMDEN,34.12,29.90,0.00,31.80
CANDLER,44.56,40.13,50.00,42.14
CARROLL,41.10,40.61,0.00,40.82
CATOOSA,37.27,33.95,40.00,35.47
CHARLTON,36.36,35.59,0.00,35.95
CHATHAM,38.78,41.85,17.17,40.46
CHATTAHOOCHEE,18.80,19.50,0.00,19.17
CHATTOOGA,41.01,35.76,0.00,38.17
CHEROKEE,47.12,45.43,31.25,46.23
CLARKE,37.36,39.58,31.15,38.56
CLAY,52.73,52.08,0.00,52.35
CLAYTON,35.69,45.16,22.41,41.07
CLINCH,30.40,29.23,0.00,29.74
COBB,45.97,47.04,24.19,46.53
COFFEE,38.22,38.41,100.0,38.32
COLQUITT,38.03,36.45,9.09,37.15
COLUMBIA,45.79,43.75,30.99,44.69
COOK,40.62,39.73,0.00,40.13
COWETA,44.74,44.20,27.78,44.44
CRAWFORD,44.26,45.09,0.00,44.68
CRISP,42.90,42.89,0.00,42.89
DADE,35.61,34.19,0.00,34.86
DAWSON,51.07,49.12,100.0,50.06
DECATUR,38.15,39.42,16.67,38.85
DEKALB,41.88,48.38,22.06,45.50
DODGE,49.77,48.22,100.0,48.93
DOOLY,44.27,47.30,100.0,45.97
DOUGHERTY,37.60,43.34,14.13,40.87
DOUGLAS,44.24,47.33,27.03,45.94
EARLY,41.96,45.59,0.00,43.99
ECHOLS,36.34,35.12,0.00,35.69
EFFINGHAM,38.50,37.64,28.57,38.05
ELBERT,41.74,39.87,0.00,40.72
EMANUEL,42.67,42.90,0.00,42.79
EVANS,42.20,41.14,0.00,41.60
FANNIN,44.94,41.89,0.00,43.34
FAYETTE,52.22,52.80,38.71,52.52
FLOYD,42.10,39.77,37.50,40.83
FORSYTH,48.43,46.06,31.61,47.18
FRANKLIN,41.37,38.25,0.00,39.72
FULTON,38.29,42.54,22.54,40.55
GILMER,46.98,45.43,33.33,46.18
GLASCOCK,47.44,45.02,0.00,46.13
GLYNN,39.73,37.90,27.03,38.70
GORDON,38.57,35.66,0.00,37.03
GRADY,39.33,39.31,50.00,39.32
GREENE,55.68,58.38,0.00,57.13
GWINNETT,42.06,44.08,37.45,43.13
HABERSHAM,44.89,42.94,42.86,43.86
HALL,45.71,45.99,21.43,45.83
HANCOCK,37.94,45.49,100.0,42.03
HARALSON,44.00,41.51,0.00,42.66
HARRIS,46.95,46.71,25.00,46.82
HART,50.03,47.99,0.00,48.93
HEARD,38.40,38.37,0.00,38.38
HENRY,44.89,48.05,38.46,46.62
HOUSTON,43.29,41.51,16.67,42.30
IRWIN,45.96,46.71,50.00,46.37
JACKSON,46.63,45.19,33.33,45.86
JASPER,44.79,45.91,0.00,45.38
JEFF DAVIS,39.27,38.01,0.00,38.58
JEFFERSON,42.10,46.32,28.57,44.47
JENKINS,37.79,39.99,0.00,39.00
JOHNSON,44.55,46.09,0.00,45.39
JONES,48.17,47.75,0.00,47.94
LAMAR,44.25,46.30,0.00,45.36
LANIER,32.58,30.07,0.00,31.20
LAURENS,49.78,50.01,50.00,49.91
LEE,44.88,43.47,25.00,44.12
LIBERTY,30.31,28.92,22.22,29.52
LINCOLN,46.63,48.83,0.00,47.77
LONG,32.04,28.16,33.33,29.90
LOWNDES,35.49,35.14,4.00,35.28
LUMPKIN,47.74,44.62,50.00,46.10
MCDUFFIE,42.49,44.57,0.00,43.66
MCINTOSH,43.98,46.38,0.00,45.25
MACON,41.51,46.80,0.00,44.43
MADISON,48.19,45.58,20.00,46.79
MARION,45.62,46.96,0.00,46.34
MERIWETHER,42.23,46.27,0.00,44.41
MILLER,37.17,36.65,0.00,36.89
MITCHELL,38.95,41.63,0.00,40.45
MONROE,50.56,50.50,10.00,50.50
MONTGOMERY,45.88,45.91,0.00,45.90
MORGAN,51.59,52.82,0.00,52.24
MURRAY,33.91,30.45,50.00,32.11
MUSCOGEE,33.37,35.59,15.79,34.63
NEWTON,41.74,46.09,16.67,44.14
OCONEE,55.99,54.42,22.73,55.14
OGLETHORPE,48.04,47.15,0.00,47.56
PAULDING,42.02,42.70,29.03,42.38
PEACH,42.75,44.35,42.86,43.61
PICKENS,49.54,45.52,0.00,47.41
PIERCE,39.75,37.08,100.0,38.31
PIKE,50.13,50.01,100.0,50.07
POLK,40.09,37.32,20.00,38.60
PULASKI,46.74,42.95,0.00,44.66
PUTNAM,49.15,49.46,16.67,49.30
QUITMAN,42.14,42.52,0.00,42.35
RABUN,53.34,50.50,0.00,51.83
RANDOLPH,50.52,53.40,0.00,52.16
RICHMOND,37.31,40.03,19.05,38.82
ROCKDALE,45.16,49.25,18.18,47.42
SCHLEY,50.04,50.46,0.00,50.25
SCREVEN,40.72,44.61,0.00,42.83
SEMINOLE,39.27,39.30,0.00,39.29
SPALDING,42.24,44.16,27.27,43.29
STEPHENS,36.40,32.87,0.00,34.47
STEWART,38.22,45.12,50.00,41.98
SUMTER,44.37,47.86,25.00,46.35
TALBOT,45.78,50.52,0.00,48.36
TALIAFERRO,43.70,49.08,0.00,46.44
TATTNALL,43.01,41.08,42.86,41.95
TAYLOR,46.95,46.26,0.00,46.57
TELFAIR,46.63,47.44,0.00,47.04
TERRELL,47.54,55.51,0.00,51.94
THOMAS,38.28,39.68,16.67,39.05
TIFT,40.44,38.35,4.55,39.24
TOOMBS,39.83,39.41,20.00,39.59
TOWNS,52.26,49.38,0.00,50.73
TREUTLEN,37.25,39.52,0.00,38.49
TROUP,38.20,39.77,14.29,39.07
TURNER,41.75,45.75,25.00,43.92
TWIGGS,46.02,50.45,33.33,48.33
UNION,52.97,49.78,0.00,51.28
UPSON,45.18,45.72,0.00,45.46
WALKER,34.42,32.10,0.00,33.17
WALTON,46.79,47.42,44.44,47.13
WARE,38.41,35.52,20.00,36.78
WARREN,39.87,45.99,0.00,43.24
WASHINGTON,48.85,51.55,0.00,50.37
WAYNE,41.62,37.80,0.00,39.51
WEBSTER,49.51,52.59,0.00,51.17
WHEELER,50.90,49.30,0.00,50.03
WHITE,49.51,48.00,0.00,48.71
WHITFIELD,37.08,35.05,10.00,36.00
WILCOX,42.20,44.02,0.00,43.18
WILKES,48.02,51.09,0.00,49.70
WILKINSON,52.08,55.62,0.00,54.00
WORTH,43.55,41.53,50.00,42.46
TOTAL,42.05,43.63,27.35,42.90
