ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,31.70,28.93,0.00,30.24
2016 Primary,18.47,16.28,0.00,17.32
2016 Primary Runoff,9.13,7.27,0.00,8.16
2016 General,58.40,59.45,100.0,58.97
2018 Primary,12.85,12.02,0.00,12.42
2018 Primary Runoff,11.47,8.72,0.00,10.04
2018 General,51.93,53.73,0.00,52.83
