ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,33.33,33.91,0.00,0.00,0.00,41.05,15.58,37.18
2016 Primary,0.00,8.33,0.00,0.00,0.00,16.56,1.28,13.09
2016 Primary Runoff,0.00,0.57,0.00,0.00,0.00,9.52,0.00,6.27
2016 General,50.00,64.84,0.00,0.00,0.00,67.29,45.57,64.72
2018 Primary,0.00,16.94,0.00,0.00,0.00,19.00,1.10,16.79
2018 Primary Runoff,0.00,4.05,0.00,0.00,0.00,20.03,2.25,13.62
2018 General,50.00,60.11,0.00,0.00,11.11,65.02,31.87,60.48
