ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,28.93,28.35,60.00,28.71
2016 Primary,7.90,6.57,0.00,7.29
2016 Primary Runoff,5.00,4.51,16.67,4.78
2016 General,64.15,65.32,63.16,64.71
2018 Primary,20.05,22.38,10.53,21.16
2018 Primary Runoff,6.60,6.10,0.00,6.34
2018 General,60.57,63.86,73.91,62.19
