ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential_Primary,-0000,-0000,-0000,-0000,-0000,-0000,-0000,-0000
2016 Primary,-0000,-0000,-0000,-0000,-0000,-0000,-0000,-0000
2016 Primary_Runoff,-0000,-0000,-0000,-0000,-0000,-0000,-0000,-0000
2016 General,-0000,-0000,-0000,-0000,-0000,-0000,-0000,-0000
2018 Primary,0.00,9.56,0.00,0.00,0.00,28.57,9.30,9.79
2018 Primary Runoff,0.00,1.82,0.00,0.00,0.00,0.00,0.00,1.52
2018 General,0.00,48.60,66.67,0.00,0.00,25.00,32.65,45.43
