ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,20.05,30.42,40.00,25.36
2016 Primary,6.49,9.07,0.00,7.78
2016 Primary Runoff,3.35,6.47,0.00,4.93
2016 General,38.08,57.09,22.22,47.59
2018 Primary,12.98,16.26,10.00,14.66
2018 Primary Runoff,1.96,2.58,0.00,2.27
2018 General,37.17,47.68,20.00,42.61
